CensusId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
48053,Texas,Burnet,44144,21891,22253,21.3,74.7,2.3,0.7,0.3,0.0,32696,49732.0,3192.0,26578,1593,16.0,26.8,29.3,20.5,22.8,15.3,12.1,78.9,11.6,0.1,2.0,1.1,6.3,25.5,18673,74.1,14.2,11.7,0.1,5.1
48055,Texas,Caldwell,39347,19907,19440,49.1,42.5,6.9,0.1,0.2,0.1,27699,47233.0,2036.0,20667,975,19.3,24.3,24.1,22.4,23.4,14.4,15.7,78.1,13.8,0.2,2.7,2.3,3.0,30.7,16693,74.7,18.6,6.7,0.1,5.2
48057,Texas,Calhoun,21666,10840,10826,47.8,44.1,2.8,0.1,3.5,0.1,14841,51078.0,5676.0,24372,1385,19.3,30.4,27.6,12.2,23.0,15.8,21.3,79.6,14.7,0.8,0.8,1.4,2.8,22.9,9416,80.5,12.8,6.7,0.1,7.2
48059,Texas,Callahan,13532,6615,6917,9.1,87.2,1.7,0.1,0.4,0.0,10194,40981.0,3389.0,22387,1789,19.0,20.7,25.9,16.5,25.0,14.7,17.9,84.5,10.2,0.3,2.4,0.3,2.4,22.2,5092,71.2,17.0,9.4,2.5,5.4
48061,Texas,Cameron,417947,201583,216364,88.5,10.1,0.4,0.1,0.6,0.0,220025,33266.0,884.0,15105,320,33.8,47.5,27.9,25.3,25.0,10.7,11.1,83.1,10.5,0.7,1.6,1.8,2.2,19.9,148011,72.7,18.2,8.9,0.2,10.0
48063,Texas,Camp,12516,6105,6411,23.0,57.2,17.1,0.1,0.3,0.0,8426,37851.0,3394.0,19738,1833,19.7,28.2,22.0,19.6,21.9,13.6,23.0,82.3,13.0,1.0,0.2,0.3,3.3,22.6,5039,73.7,16.0,9.9,0.4,8.5
48065,Texas,Carson,6068,2926,3142,9.6,86.8,1.1,0.6,0.3,0.2,4470,66023.0,7713.0,28400,2139,7.3,10.6,34.9,10.2,24.2,17.7,13.0,90.5,5.4,0.2,0.7,0.0,3.2,19.8,2902,72.5,18.3,9.2,0.0,1.7
48067,Texas,Cass,30328,14717,15611,4.1,76.6,17.2,0.2,0.4,0.1,23249,37352.0,2430.0,20991,916,19.8,30.8,21.3,19.2,24.4,14.9,20.2,88.1,5.8,0.3,1.2,2.3,2.3,25.1,11964,76.0,15.9,8.1,0.0,9.2
48069,Texas,Castro,7948,4053,3895,62.1,34.8,0.6,0.1,0.3,0.0,4420,39459.0,3380.0,21068,4374,17.1,23.7,23.7,15.0,21.0,21.4,18.8,80.0,12.2,0.6,2.2,1.2,3.8,15.2,3316,73.5,14.5,10.8,1.2,4.7
48071,Texas,Chambers,37251,18691,18560,20.9,68.4,7.9,0.2,1.3,0.0,24045,70544.0,6404.0,30572,2236,10.6,9.7,34.4,10.7,18.9,16.4,19.6,85.4,9.3,0.0,0.7,2.2,2.4,31.0,15166,77.9,15.9,6.1,0.1,7.8
48073,Texas,Cherokee,51167,26098,25069,21.9,61.6,14.4,0.1,0.5,0.0,34903,39595.0,1845.0,19420,917,22.1,34.8,26.9,22.4,20.0,15.7,15.1,82.4,13.1,0.0,1.9,1.1,1.4,25.8,19729,72.9,20.4,6.5,0.2,6.4
48075,Texas,Childress,7059,4050,3009,20.5,64.3,9.6,1.0,1.3,2.1,5512,36633.0,8958.0,19861,2691,20.2,28.8,34.2,21.9,18.2,8.7,17.1,89.9,8.2,0.0,1.3,0.0,0.6,11.7,2600,62.0,31.7,6.1,0.2,5.2
48077,Texas,Clay,10479,5265,5214,5.4,90.9,0.5,1.3,0.4,0.0,8033,48297.0,3407.0,26339,1986,12.1,13.7,28.8,18.3,24.6,14.5,13.7,84.2,8.9,0.0,1.8,1.1,4.0,24.8,4605,72.4,17.0,10.4,0.2,6.8
48079,Texas,Cochran,2993,1519,1474,56.2,38.4,3.7,0.2,0.0,0.0,1787,39113.0,3514.0,18968,2192,20.0,23.7,24.2,14.2,12.9,33.2,15.5,71.9,22.8,0.5,2.3,1.0,1.5,19.5,1180,66.6,20.9,12.0,0.4,8.5
48081,Texas,Coke,3238,1667,1571,20.9,77.3,0.8,0.6,0.1,0.0,2566,42467.0,5324.0,29355,6330,11.6,11.4,46.3,13.9,15.1,12.5,12.2,84.2,5.1,0.0,4.0,1.3,5.5,22.3,1508,58.7,31.5,9.8,0.0,3.1
48083,Texas,Coleman,8536,4223,4313,17.3,78.1,2.4,0.8,0.8,0.0,6581,35156.0,4158.0,20085,1778,22.6,41.1,26.2,20.8,24.1,17.6,11.3,86.5,7.2,0.1,1.5,2.0,2.8,25.8,3235,71.4,17.4,10.9,0.2,8.2
48085,Texas,Collin,862215,423260,438955,15.0,60.8,8.9,0.3,12.4,0.1,548008,84735.0,1217.0,38883,427,7.6,9.5,52.1,11.8,25.2,5.2,5.7,81.6,7.2,1.1,0.8,1.4,7.8,28.2,444189,84.1,10.0,5.8,0.2,4.9
48087,Texas,Collingsworth,3058,1490,1568,31.4,62.1,3.5,1.9,0.2,0.0,1885,39743.0,7242.0,20269,1858,22.6,40.1,25.4,15.5,18.6,27.1,13.5,77.8,18.9,0.3,1.2,0.1,1.7,18.8,1345,70.7,18.3,11.0,0.0,5.2
48089,Texas,Colorado,20757,10231,10526,27.8,58.1,13.6,0.1,0.2,0.0,15181,46618.0,2516.0,25578,2021,15.1,19.1,29.0,16.9,20.4,16.2,17.5,87.2,7.8,1.1,1.9,0.2,1.8,21.4,9169,72.6,17.3,9.0,1.1,4.2
48091,Texas,Comal,119632,59187,60445,26.3,69.4,1.9,0.1,0.9,0.0,88281,65833.0,3291.0,32838,990,8.8,13.0,37.8,16.6,25.6,11.0,8.9,80.5,9.2,0.1,1.1,1.4,7.6,30.3,54190,77.2,13.2,9.1,0.4,4.9
48093,Texas,Comanche,13623,6673,6950,26.9,71.2,0.4,0.1,0.3,0.0,9707,37470.0,2513.0,19743,979,23.2,40.2,26.9,15.7,20.7,15.6,21.2,80.8,12.2,0.0,2.2,1.1,3.7,23.2,5338,72.2,15.0,12.3,0.5,4.5
48095,Texas,Concho,4086,2726,1360,55.4,42.8,0.5,0.0,0.8,0.0,2045,48368.0,5302.0,15820,1589,11.1,19.8,34.1,13.5,24.5,17.0,10.9,79.4,10.4,0.0,5.2,0.0,5.0,21.1,961,44.1,36.7,17.8,1.4,2.8
48097,Texas,Cooke,38761,19129,19632,16.9,77.1,2.4,0.8,0.7,0.1,27265,52406.0,3128.0,26742,1252,13.9,22.0,27.6,22.6,19.1,11.4,19.3,75.4,18.3,0.2,1.3,0.9,3.9,24.5,18012,76.9,14.8,8.1,0.2,7.0
48099,Texas,Coryell,76128,37681,38447,17.5,60.1,14.3,0.4,1.8,0.8,54395,49340.0,1526.0,19760,716,13.8,19.8,30.4,24.1,25.1,11.1,9.3,73.3,13.7,0.3,7.4,2.3,3.0,21.0,22684,60.3,34.2,5.3,0.2,9.5
48101,Texas,Cottle,1510,786,724,28.1,59.9,10.5,0.2,0.0,0.0,1074,34955.0,3894.0,18926,2304,22.7,39.1,31.4,22.6,22.9,19.2,3.9,66.6,17.7,0.0,9.6,4.0,2.2,15.1,615,56.4,28.9,14.0,0.7,7.5
48103,Texas,Crane,4730,2368,2362,60.0,35.7,3.5,0.7,0.0,0.0,2869,58333.0,6374.0,23808,2497,13.1,16.3,19.0,19.4,17.3,21.9,22.3,77.0,18.9,0.6,2.0,1.4,0.0,23.0,1980,82.2,13.9,3.9,0.0,5.2
48105,Texas,Crockett,3699,1854,1845,61.8,36.7,0.3,0.0,0.0,0.0,2609,53678.0,8534.0,26675,3494,17.5,30.4,21.6,17.5,20.7,24.4,15.9,76.1,18.7,0.0,3.5,0.0,1.6,21.1,1851,77.4,16.3,6.2,0.2,1.8
48107,Texas,Crosby,6007,2926,3081,53.9,41.3,3.7,0.0,0.0,0.3,4158,37434.0,2321.0,18692,1615,22.9,33.9,28.9,19.6,20.0,22.6,9.0,83.4,8.6,0.0,2.8,3.8,1.4,21.8,2478,72.7,17.3,9.4,0.6,10.0
48109,Texas,Culberson,2296,1124,1172,78.4,19.2,0.4,0.5,0.0,0.1,1591,35000.0,5602.0,17340,3140,29.7,41.7,20.1,32.2,24.2,15.7,7.8,73.1,18.7,0.2,2.9,3.0,2.2,11.0,1020,74.7,19.1,6.2,0.0,6.5
48111,Texas,Dallam,7014,3752,3262,42.3,52.7,1.2,1.1,1.0,0.0,4184,41345.0,3462.0,19997,1306,17.0,25.5,20.3,23.2,16.5,21.6,18.4,81.9,9.8,0.5,2.0,3.7,2.1,12.8,3381,82.1,11.0,6.7,0.1,5.6
48113,Texas,Dallas,2485003,1225722,1259281,39.0,31.5,21.8,0.2,5.6,0.0,1432702,50270.0,333.0,27605,246,19.3,29.3,33.3,18.2,24.5,11.2,12.9,78.2,11.2,2.9,1.5,2.1,4.1,26.5,1191958,83.9,9.5,6.4,0.1,7.6
48115,Texas,Dawson,13542,7670,5872,54.7,37.8,5.6,0.3,0.8,0.0,9638,41095.0,2591.0,19889,1896,16.6,17.2,24.9,19.8,22.7,16.5,16.0,79.7,15.0,0.3,1.2,2.0,1.8,16.4,4844,68.5,21.9,9.5,0.1,9.5
48117,Texas,Deaf Smith,19245,9491,9754,69.8,27.8,0.8,0.6,0.3,0.0,10848,43373.0,3130.0,18846,922,20.8,28.8,26.8,13.8,20.4,17.0,22.0,81.6,13.9,0.3,1.1,0.6,2.6,13.7,8501,78.0,13.6,7.9,0.5,5.4
48119,Texas,Delta,5223,2586,2637,6.8,81.2,8.2,0.4,0.7,0.0,4020,42432.0,4872.0,20704,1701,22.8,39.5,32.6,14.8,22.0,11.3,19.3,83.7,9.9,0.0,2.6,1.5,2.3,30.1,1830,72.8,16.2,11.0,0.0,13.6
48121,Texas,Denton,731851,360112,371739,18.8,62.1,8.7,0.3,7.3,0.1,482962,75050.0,1057.0,34914,368,8.8,10.1,43.9,14.6,26.6,6.4,8.5,80.9,9.3,1.0,1.2,1.3,6.2,28.1,387884,82.2,11.9,5.7,0.1,5.7
48123,Texas,DeWitt,20540,10795,9745,33.6,56.3,9.5,0.1,0.1,0.0,15547,49736.0,5142.0,28418,2665,15.1,21.2,29.1,19.2,21.0,14.7,16.1,83.8,8.5,0.0,2.4,1.3,4.0,22.4,7927,72.4,17.7,9.6,0.3,6.8
48125,Texas,Dickens,2281,1222,1059,26.4,66.9,6.1,0.2,0.0,0.0,1714,39700.0,4253.0,20659,2919,20.1,24.8,41.5,15.6,16.9,19.0,7.0,75.3,9.7,0.0,6.2,2.8,6.1,16.1,744,59.0,31.2,9.5,0.3,13.6
48127,Texas,Dimmit,10682,5185,5497,85.8,13.7,0.3,0.0,0.2,0.0,7223,36825.0,5948.0,21174,3402,18.9,26.0,19.3,23.5,31.9,17.0,8.3,79.3,8.2,0.1,4.5,2.3,5.7,15.8,4210,70.5,21.9,7.6,0.0,10.3
48129,Texas,Donley,3588,1766,1822,10.1,82.5,5.7,0.6,0.4,0.1,2826,36681.0,4127.0,20204,1468,17.7,32.6,32.9,24.9,16.5,14.1,11.6,68.7,16.5,0.0,5.3,1.3,8.2,22.6,1411,56.4,29.8,13.7,0.0,3.9
48131,Texas,Duval,11577,6038,5539,88.5,10.0,0.9,0.2,0.4,0.0,8635,33939.0,5080.0,20752,2417,23.9,36.2,18.1,24.4,21.9,22.9,12.6,70.0,19.3,0.0,5.7,1.7,3.3,26.9,4336,76.0,17.2,6.4,0.3,10.9
48133,Texas,Eastland,18328,8979,9349,14.8,80.2,2.8,0.2,0.4,0.0,13920,34888.0,3563.0,22135,3222,18.2,19.9,30.7,20.6,20.9,12.0,15.8,83.9,10.1,0.1,1.7,1.0,3.1,19.1,6803,76.4,15.1,7.8,0.7,4.4
48135,Texas,Ector,149557,75182,74375,56.5,37.0,4.0,0.2,0.8,0.0,92579,57150.0,2189.0,26135,730,13.0,17.1,23.5,15.4,25.9,17.4,17.8,81.4,14.1,0.5,1.1,0.7,2.1,21.0,70130,82.0,11.2,6.7,0.1,5.2
48137,Texas,Edwards,1906,854,1052,51.0,48.8,0.2,0.1,0.0,0.0,1480,41813.0,16850.0,27893,9683,10.8,20.8,22.7,20.9,26.9,22.0,7.5,56.2,14.4,0.0,5.7,7.2,16.5,23.2,912,57.2,23.0,19.7,0.0,4.9
48139,Texas,Ellis,157058,77570,79488,24.7,63.9,8.8,0.3,0.6,0.0,105187,62465.0,2002.0,26357,547,12.1,17.1,31.7,14.5,27.1,10.9,15.9,81.6,12.0,0.4,0.6,0.7,4.7,28.7,74703,78.5,14.2,7.3,0.1,6.5
48141,Texas,El Paso,831095,406117,424978,81.3,13.3,3.1,0.3,1.0,0.1,478494,41637.0,545.0,18880,258,22.8,31.7,29.6,21.2,26.7,9.7,12.8,79.4,11.2,1.5,2.3,2.4,3.2,23.2,327744,73.9,20.0,6.0,0.1,8.4
48143,Texas,Erath,40039,19692,20347,19.9,76.2,1.4,0.6,0.7,0.0,29464,41416.0,1503.0,21903,1379,24.4,23.8,29.9,19.4,21.7,13.0,16.0,80.7,11.3,0.4,3.1,1.0,3.6,20.0,19275,76.7,15.3,7.9,0.0,4.1
48145,Texas,Falls,17410,8192,9218,22.1,51.8,24.5,0.1,0.2,0.1,12990,36079.0,2516.0,16739,844,22.0,34.4,26.2,20.7,22.8,14.7,15.6,76.2,13.5,1.7,3.1,2.3,3.2,24.5,6068,70.8,20.5,8.4,0.3,7.2
48147,Texas,Fannin,33748,17810,15938,10.3,79.7,6.8,0.3,0.6,0.1,25298,44071.0,2934.0,20545,696,17.2,22.5,31.5,16.6,22.6,12.9,16.4,81.4,10.4,0.1,1.5,1.4,5.2,29.4,13259,73.1,19.8,7.1,0.1,6.7
48149,Texas,Fayette,24849,12267,12582,19.6,72.6,7.2,0.0,0.1,0.0,18420,47808.0,4108.0,28458,2111,12.4,18.9,22.7,17.2,25.9,17.1,17.1,83.2,9.2,0.2,1.7,1.2,4.5,23.3,11669,77.4,13.4,9.0,0.2,1.8
48151,Texas,Fisher,3858,1826,2032,31.0,64.5,3.2,0.0,0.5,0.2,3000,41406.0,2956.0,26855,3978,17.5,19.0,28.9,19.8,22.4,17.6,11.3,82.5,10.4,0.0,4.0,0.8,2.3,19.7,1767,72.0,18.1,9.4,0.5,7.2
48153,Texas,Floyd,6178,3020,3158,55.8,40.0,2.6,0.1,0.1,0.0,4102,41026.0,4376.0,22195,2095,22.4,38.5,29.4,15.8,18.4,22.9,13.5,81.9,9.4,0.0,2.2,0.7,5.9,15.0,2600,73.8,16.8,9.2,0.1,8.0
48155,Texas,Foard,1197,591,606,11.6,84.5,2.9,0.0,0.9,0.0,929,36477.0,7406.0,22871,3715,9.8,6.3,31.8,13.5,35.4,11.7,7.6,88.3,8.4,0.0,1.6,0.0,1.8,18.0,446,60.8,24.9,13.5,0.9,9.7
48157,Texas,Fort Bend,658331,323468,334863,24.0,35.2,20.5,0.2,18.3,0.0,402025,89152.0,1584.0,35962,560,8.2,11.2,49.3,12.4,23.6,6.5,8.2,82.3,9.7,1.7,0.6,1.2,4.5,32.0,314534,81.7,12.5,5.7,0.2,5.1
48159,Texas,Franklin,10599,5383,5216,13.4,79.8,5.0,0.5,0.0,0.1,7587,41537.0,5744.0,26653,4396,16.5,25.7,25.5,19.4,22.9,14.6,17.6,81.7,8.6,0.0,3.0,1.2,5.5,23.9,4309,72.3,13.7,13.3,0.7,6.6
48161,Texas,Freestone,19586,10230,9356,14.4,67.8,15.6,0.5,0.3,0.0,14092,44301.0,3918.0,24087,1662,14.9,25.1,26.1,23.6,19.8,16.4,14.2,84.8,11.4,0.3,1.0,1.1,1.4,25.1,7868,73.6,19.0,7.3,0.2,4.9
48163,Texas,Frio,18168,10723,7445,78.1,17.0,3.9,0.0,0.4,0.0,11793,36404.0,4068.0,17017,2628,22.1,29.5,18.5,27.3,20.2,18.7,15.3,84.1,10.9,0.2,2.7,1.6,0.6,17.9,6618,81.1,15.4,3.4,0.1,5.2
48165,Texas,Gaines,18916,9556,9360,39.2,57.6,1.8,0.3,0.5,0.3,9905,57635.0,6294.0,22744,2576,11.6,11.3,24.3,12.0,19.4,26.9,17.3,76.9,17.2,0.0,4.0,0.4,1.5,16.2,7868,76.8,12.0,11.2,0.0,4.0
48167,Texas,Galveston,308163,152405,155758,23.5,58.2,13.0,0.2,3.3,0.0,215583,62313.0,1675.0,31585,554,13.9,20.0,39.7,17.0,22.8,10.3,10.2,80.1,10.9,1.2,1.9,2.5,3.4,27.5,143681,75.8,18.2,5.8,0.2,7.5
48169,Texas,Garza,6410,4247,2163,56.0,39.0,4.5,0.3,0.1,0.0,2914,48508.0,5305.0,18125,8610,10.4,14.3,24.0,21.9,22.3,15.9,15.9,76.1,17.2,0.0,3.3,2.9,0.6,18.4,2018,70.5,17.5,12.0,0.0,2.0
48171,Texas,Gillespie,25398,12385,13013,21.4,76.7,0.3,0.0,0.2,0.0,19166,54859.0,3635.0,30859,1798,11.2,18.8,35.4,21.1,20.3,13.4,9.9,74.1,15.2,0.3,2.5,2.8,5.0,19.4,11230,74.8,10.5,14.3,0.5,6.8
48173,Texas,Glasscock,1180,655,525,34.1,65.9,0.0,0.0,0.0,0.0,706,67303.0,17246.0,35054,6846,3.4,0.0,44.1,5.0,19.2,27.3,4.4,81.1,5.8,0.0,2.6,1.2,9.3,21.0,499,68.5,17.0,14.4,0.0,2.5
48175,Texas,Goliad,7410,3653,3757,35.5,58.5,5.3,0.0,0.1,0.1,5715,51226.0,3258.0,29513,3235,18.6,30.7,29.5,16.7,20.8,13.8,19.2,76.8,14.3,0.0,2.9,0.0,6.0,28.0,2962,70.1,21.4,8.2,0.3,9.3
48177,Texas,Gonzales,20172,10122,10050,49.1,43.2,6.6,0.1,0.1,0.0,12568,42983.0,2287.0,21185,1155,20.3,29.6,22.5,17.9,23.3,17.5,18.9,73.7,17.4,1.6,2.5,0.9,3.9,21.5,8422,77.2,13.2,9.1,0.5,6.5
48179,Texas,Gray,22983,12253,10730,26.4,65.9,4.4,0.8,0.4,0.1,15814,43288.0,2693.0,21555,1015,13.3,17.2,24.1,15.6,24.6,18.9,16.9,83.9,13.0,0.0,1.3,1.0,0.7,19.3,9444,79.6,13.3,7.0,0.0,5.4
48181,Texas,Grayson,122780,59917,62863,12.3,77.1,5.9,1.2,1.1,0.1,88934,47952.0,1896.0,25033,640,16.2,22.9,31.4,18.2,24.9,11.2,14.3,78.8,12.1,0.4,1.9,1.2,5.6,25.0,54835,78.4,13.8,7.5,0.3,7.8
48183,Texas,Gregg,123178,60328,62850,17.7,59.3,19.9,0.4,1.4,0.2,84342,47639.0,1690.0,24364,706,18.2,26.9,27.7,16.6,26.2,12.1,17.4,84.5,10.0,0.4,1.6,1.4,2.1,20.1,55402,84.7,9.8,5.4,0.1,5.9
48185,Texas,Grimes,26961,14823,12138,22.6,59.6,15.9,0.2,0.1,0.0,19319,46195.0,2338.0,20891,1541,19.8,28.0,24.7,17.9,20.8,17.3,19.3,80.8,13.2,0.0,1.6,1.4,2.9,31.2,9951,79.2,15.0,5.7,0.1,6.2
48187,Texas,Guadalupe,143460,70832,72628,36.7,52.6,6.7,0.2,1.6,0.0,100348,62420.0,1828.0,26928,545,9.8,13.7,34.4,16.1,25.0,10.0,14.6,84.4,9.9,0.2,0.7,1.1,3.7,25.3,66822,77.0,17.9,4.8,0.3,5.7
48189,Texas,Hale,35504,18337,17167,57.9,35.4,4.6,0.1,0.4,0.0,23248,43375.0,2063.0,17910,1108,23.0,34.7,24.5,20.5,20.9,16.6,17.4,82.3,11.0,0.4,1.3,1.4,3.6,15.5,14265,75.9,16.4,7.4,0.2,8.1
